our_stage1_rank,ticker,category,sector,fcf_yield_ttm,fcf_yield_q_ann,signal_70d_return,stage2_rank,net_debt_to_mcap,domestic_mcap_rank,global_marketcap_rank,marketcap_ffill,avg_10d_dollar_volume,combined_10d_dollar_volume,revenue_screen_ratio_max,revenue_quarterly,close_price,close_adj_price
1,T1,Domestic Common Stock,Communication Services,0.5760147849417127,0.5316275759749494,-0.10271842712408408,28.0,0.6964124898825129,148,172,15702721937.797604,74488533.0,74488533.0,351.2062928663612,8649000000,19.88,19.88
2,ETFC,Domestic Common Stock,Financial Services,0.522190083675425,0.006156351528075105,0.09989872217553453,132.0,0.7029683822381789,511,556,3828891169.145147,38815825.0,38815825.0,8.503273174042777,397705000,10.46,104.6
3,PFG,Domestic Common Stock Primary Class,Financial Services,0.44902565340478223,0.0732641155169894,0.031109512677576,78.0,0.45286349734004466,222,252,10602734974.93962,32322977.0,32322977.0,46.27665200049701,2266100000,32.83,32.83
4,CB,Domestic Common Stock,Financial Services,0.32570906175950565,0.3978181339829788,0.1895308641975313,181.0,0.1991940321167799,218,248,10660489398.86047,56435766.0,56435766.0,43.993373982959504,2666682000,38.2,38.2
5,XL1,Domestic Common Stock,Financial Services,0.3170967853798542,0.2993258552368811,-0.03150623275474107,46.0,-0.015677497589503993,236,270,10040442372.148603,68989418.6,68989418.6,41.26482430926213,1969332000,72.67,72.67
6,AFCI,Domestic Common Stock,Technology,0.3154324630349547,-0.11138250563897079,-0.15938410320432794,11.0,-0.04559941045225328,918,978,1755859224.7324412,25387278.353000004,25387278.353000004,2.3023808439274367,85214000,20.2,20.2
7,JHF,Domestic Common Stock,Financial Services,0.3111710446236538,0.15405754676559827,0.15778597316716403,167.0,0.12387691425411619,219,249,10634986953.887169,38408606.9,38408606.9,66.62983450934513,2430100000,36.76,36.76
8,MET,Domestic Common Stock Primary Class,Financial Services,0.29574820201325697,0.2496903486863924,0.15013793103448303,164.0,0.13904353872733546,92,107,25359410298.845406,56521524.0,56521524.0,226.0820489437472,8816000000,33.36,33.36
9,CB1,Domestic Common Stock,Financial Services,0.2549032997661542,0.39421634825441687,-0.05406842085279262,36.0,0.2304082106171049,192,220,12203451280.755196,47971087.1,47971087.1,48.52536216275996,2947200000,64.99,32.495
10,PRU,Domestic Common Stock Primary Class,Financial Services,0.25389830221680004,0.30476760018962756,0.11086398631308758,143.0,0.7113757582424748,103,120,22312083029.06547,67893236.0,67893236.0,122.72982370530846,6704000000,40.73,40.73
11,TAP.B,Domestic Common Stock Primary Class,Financial Services,0.2246025814936929,0.26164857508776046,0.021110542476970195,72.0,0.20471148495075767,144,167,16117802279.58625,28750091.6,63965581.800000004,71.71792528497957,3745500000,16.04,16.04
12,FNF1,Domestic Common Stock,Financial Services,0.22373006135278184,0.2716319615403068,0.20462850182704018,184.0,0.008677587996046681,443,486,4758850882.900192,36428863.294999994,36428863.294999994,36.72350079628244,2230411000,31.927,31.927
13,HIG,Domestic Common Stock Primary Class,Financial Services,0.20096258527201252,0.3751301591744234,0.07649550821740791,114.0,0.2982160405323686,141,164,16420967094.612617,83250307.0,83250307.0,93.76407645551419,4947000000,57.75,57.75
14,FITB,Domestic Common Stock Primary Class,Financial Services,0.19717525669385227,0.5304332917854152,-0.007779034303142307,61.0,0.6233842495225316,69,81,33270249573.888527,74782614.0,74782614.0,21.673065664013844,1296088000,58.47,58.47
15,ALL,Domestic Common Stock Primary Class,Financial Services,0.19392629385245774,0.23398911932788494,0.131922837585563,156.0,0.14362638780027212,80,95,28804758184.312637,65245082.0,65245082.0,156.44971183704854,8127000000,40.71,40.71
16,LPX,Domestic Common Stock,Basic Materials,0.18462487222979426,0.3707755698499174,0.2530210076222339,191.0,0.27302822471194615,888,948,1835072360.0139363,29597547.0,29597547.0,17.212777992110414,674800000,17.33,17.33
17,SUN1,Domestic Common Stock,Energy,0.17800838350482787,0.15227223167280454,0.18477199832659386,180.0,0.3218972809480263,518,564,3730161394.2356334,86218688.7696,86218688.7696,77.88230190180032,4594000000,48.29,24.145
18,AFL,Domestic Common Stock Primary Class,Financial Services,0.17676686061793448,0.2247456501468285,0.11017123994223188,140.0,0.010878461087814175,122,143,18153855246.295074,37471701.5,37471701.5,50.09386582113506,2931000000,35.4,17.7
19,CI,Domestic Common Stock,Healthcare,0.17557582050594417,0.09308880026824727,0.16725542498738277,170.0,-0.05215244829785815,288,324,7734550213.615687,41173439.0,41173439.0,132.46277698770544,4773000000,54.73,18.243
20,EKDKQ,Domestic Common Stock,Technology,0.17233445243545015,0.28800300017178615,-0.19820610687022922,7.0,0.28707848793632984,326,365,6847150893.64956,60003932.6,60003932.6,87.00488159805909,3447000000,23.65,23.65
21,PNC,Domestic Common Stock Primary Class,Financial Services,0.17104322121566257,-0.1449866569281106,0.10971466000736974,138.0,0.6902596405829136,159,185,14622035192.184404,46033317.0,46033317.0,30.23742710582979,1368000000,52.73,52.73
22,ABKFQ,Domestic Common Stock,Financial Services,0.15194400114969556,0.15578893864907845,0.04804622168161843,89.0,0.12146925137745028,296,333,7365529349.838649,30688236.2,30688236.2,6.058167849276503,324434000,68.93,68.93
23,AIG,Domestic Common Stock Primary Class,Financial Services,0.14848216060261826,0.19071126748216652,0.013581922640237165,70.0,0.5721535693943016,10,10,155816698154.86258,299681500.0,299681500.0,334.3363206015892,20306000000,59.68,1193.6
24,FHN,Domestic Common Stock Primary Class,Financial Services,0.14379875782109666,1.7923588754698365,0.04436875776683391,85.0,0.5364962834362709,394,436,5368154855.415238,31723956.0,31723956.0,12.082009566946217,722126000,42.37,42.37
25,LUMN,Domestic Common Stock,Communication Services,0.13879442585401863,0.13272994256930473,-0.11678403755868527,20.0,0.6393397707950293,466,509,4434508059.04378,30315673.7,30315673.7,10.386580732277364,603752000,30.7,30.7
26,PGR,Domestic Common Stock,Financial Services,0.1373221227837752,0.17620995973916342,0.09732229271964732,129.0,0.08953718033341106,132,155,17000174135.640614,36318074.2,36318074.2,50.75937681683868,3080600000,78.68,19.67
27,BNY,Domestic Common Stock Primary Class,Financial Services,0.13556038283090757,-0.0022997217323631703,0.0638117806364249,101.0,-0.02389556135770235,96,112,24350772187.7529,72269005.0,72269005.0,40.10702471700671,1430000000,31.79,31.79
28,VLO,Domestic Common Stock,Energy,0.13384761440869117,0.26161297425748725,0.11616986525112294,149.0,0.7546971835769432,399,442,5261206956.216577,48846380.9,48846380.9,165.15998085362662,9922300000,43.75,10.938
29,TOY,Domestic Common Stock,Consumer Cyclical,0.1318057191787169,-0.3621328850162727,-0.22637362637362612,4.0,0.6741685940173731,784,842,2253316486.1935487,31370283.8,31370283.8,110.59105858910735,2138000000,10.56,10.56
30,CMA,Domestic Common Stock Primary Class,Financial Services,0.12742302268654868,0.11967790973391082,0.09850682593856619,131.0,0.340657906693039,252,287,9425298306.997255,36191503.0,36191503.0,13.299901570476242,603000000,53.75,53.75
31,DCH,Domestic Common Stock,Consumer Cyclical,0.12435202710914736,0.13608335042133107,0.1733603600508451,176.0,0.29720727452337126,834,894,2045805009.488955,24647473.0,24647473.0,17.580029713001675,867700000,38.92,38.92
32,MTG,Domestic Common Stock,Financial Services,0.1225696616217573,0.1483704589826487,-0.03377842553100241,44.0,0.11662241602620652,389,430,5480605813.149743,47968476.0,47968476.0,7.70077470885641,445591000,55.67,55.67
33,FBF,Domestic Common Stock,Financial Services,0.12241876975303835,0.09690140085992481,0.3814957805186374,197.0,0.3910287082046074,55,64,43343026651.09334,216512942.9,216512942.9,151.86958807448727,2657000000,40.75,40.75
34,PHS,Domestic Common Stock Primary Class,Healthcare,0.12171461910153782,0.13252448915104276,0.25122189638318626,190.0,0.039075955810355945,738,794,2430464000.0,63292058.3,63292058.3,59.116983748635406,2742167000,64.0,32.0
35,BAC,Domestic Common Stock Primary Class,Financial Services,0.12133787521592161,1.2739595850073628,-0.02839756592292042,48.0,0.8120227446962645,15,16,113501245802.20833,495781122.0,495781122.0,170.21990527818983,9976000000,75.59,37.795
36,X,Domestic Common Stock,Basic Materials,0.12081310659281363,0.1314227561802845,0.5375666190042898,200.0,0.6829452003112519,637,688,2921868412.7521443,77488422.0,77488422.0,41.34755635599337,2508000000,28.23,28.23
37,THC,Domestic Common Stock,Healthcare,0.11974466367276695,-0.004748239451708231,-0.10438542310068,26.0,0.6228928650540454,332,371,6739339986.0,47592285.6,47592285.6,67.00763484136243,3297000000,14.5,58.0
38,NVR,Domestic Common Stock,Consumer Cyclical,0.11856025309285655,0.10455629661248421,0.08314087759815236,119.0,0.022891083005295243,571,621,3323989193.0,30264990.0,30264990.0,15.80995558548581,956848000,469.0,469.0
