RUN PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY STATISTICS,IS (2001-2021),OOS (2022-2026),,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio,Portfolio,,,,,,,,,,,,,,,,,,,,,,,,
Annualized Return,12.06%,10.68%,,,,,,,,,,,,,,,,,,,,,,,,
Ann Std Dev,12.52%,11.87%,,,,,,,,,,,,,,,,,,,,,,,,
Info Ratio,0.963,0.900,,,,,,,,,,,,,,,,,,,,,,,,
Max Drawdown,-32.00%,-12.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IS (2001-2021),OOS (2022-2026),,,,,,,,,,,,,,,,,,,,,,,,
,SPY,SPY,,,,,,,,,,,,,,,,,,,,,,,,
Annualized Return,8.45%,11.94%,,,,,,,,,,,,,,,,,,,,,,,,
Ann Std Dev,19.41%,17.62%,,,,,,,,,,,,,,,,,,,,,,,,
Info Ratio,0.436,0.678,,,,,,,,,,,,,,,,,,,,,,,,
Max Drawdown,-55.20%,-24.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Portfolio,SPY,Difference,,,,,,,,,,,,,,,,,,,,,,,
2001,7.98%,-10.13%,18.10%,,,,,,,,,,,,,,,,,,,,,,,
2002,4.33%,-21.59%,25.92%,,,,,,,,,,,,,,,,,,,,,,,
2003,28.93%,28.18%,0.76%,,,,,,,,,,,,,,,,,,,,,,,
2004,6.39%,10.70%,-4.31%,,,,,,,,,,,,,,,,,,,,,,,
2005,2.05%,4.83%,-2.78%,,,,,,,,,,,,,,,,,,,,,,,
2006,21.97%,15.85%,6.12%,,,,,,,,,,,,,,,,,,,,,,,
2007,6.27%,5.14%,1.13%,,,,,,,,,,,,,,,,,,,,,,,
2008,-17.88%,-36.81%,18.93%,,,,,,,,,,,,,,,,,,,,,,,
2009,16.50%,26.36%,-9.86%,,,,,,,,,,,,,,,,,,,,,,,
2010,15.81%,15.06%,0.75%,,,,,,,,,,,,,,,,,,,,,,,
2011,14.05%,1.89%,12.16%,,,,,,,,,,,,,,,,,,,,,,,
2012,17.77%,15.99%,1.78%,,,,,,,,,,,,,,,,,,,,,,,
2013,27.26%,32.31%,-5.05%,,,,,,,,,,,,,,,,,,,,,,,
2014,15.00%,13.46%,1.53%,,,,,,,,,,,,,,,,,,,,,,,
2015,6.31%,1.25%,5.06%,,,,,,,,,,,,,,,,,,,,,,,
2016,23.26%,12.00%,11.26%,,,,,,,,,,,,,,,,,,,,,,,
2017,16.87%,21.70%,-4.83%,,,,,,,,,,,,,,,,,,,,,,,
2018,3.27%,-4.56%,7.83%,,,,,,,,,,,,,,,,,,,,,,,
2019,29.64%,31.22%,-1.59%,,,,,,,,,,,,,,,,,,,,,,,
2020,6.92%,18.37%,-11.45%,,,,,,,,,,,,,,,,,,,,,,,
2021,11.36%,28.74%,-17.39%,,,,,,,,,,,,,,,,,,,,,,,
2022,13.90%,-18.17%,32.07%,,,,,,,,,,,,,,,,,,,,,,,
2023,2.92%,26.19%,-23.27%,,,,,,,,,,,,,,,,,,,,,,,
2024,18.75%,24.89%,-6.14%,,,,,,,,,,,,,,,,,,,,,,,
2025,6.50%,17.71%,-11.21%,,,,,,,,,,,,,,,,,,,,,,,
2026 (YTD),5.51%,8.38%,-2.88%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
date,ticker_id,ticker,sector,vol_60d,realized_return,gross_stock_return,portfolio_daily_return,portfolio_value_usd,stock_weight,entry_exit_flag,transaction_cost_usd,is_rebalance_day,marketcap_usd,marketcap_rank,domestic_mcap_rank,avg_10d_dollar_volume,quarterly_revenue_usd,fcf_ttm,fcf_yield,ebit_ttm,ebit_yield,interest_coverage,rev_growth_yoy,rev_growth_pct_rank,net_debt_to_mcap,net_debt_usd
2001-01-05,GPU,GPU,Utilities,0.15552217679080232,0.023378,0.023378,0.002271,1002271323.24,0.1,1,50000.0,True,4278719354.0,478.0,469.0,18727647.57,1455286000.0,1066162000.0,0.24918,710901000.0,0.16615,2.22,0.0218,0.346,1.611,6894290419.0
2001-01-05,DRE,DRE,Real Estate,0.17955759839704555,-0.020048,-0.020048,0.002271,1002271323.24,0.1,1,50000.0,True,3180720590.0,584.0,575.0,6786359.1,207663000.0,185428000.0,0.0583,229715000.0,0.07222,,0.1821,0.631,0.738,2347744710.0
2001-01-05,EQR,EQR,Real Estate,0.19180563991970015,-0.008142,-0.008142,0.002271,1002271323.24,0.1,1,50000.0,True,7133814556.0,324.0,317.0,24808293.5,537254000.0,827490000.0,0.116,949075000.0,0.13304,3.17,0.2345,0.687,0.81,5776562103.0
2001-01-05,SPK1,SPK1,Real Estate,0.21668040947997086,0.015535,0.015535,0.002271,1002271323.24,0.1,1,50000.0,True,3215265718.0,580.0,571.0,48170472.4,194056000.0,161736000.0,0.0503,455716320.0,0.14174,4.21,0.179,0.629,0.575,1848397324.0
2001-01-05,DTE,DTE,Utilities,0.24603542484538984,0.019429,0.019429,0.002271,1002271323.24,0.1,1,50000.0,True,5133293344.0,422.0,413.0,48491179.0,1547000000.0,329000000.0,0.06409,770000000.0,0.15,1.93,0.0743,0.457,0.912,4679602894.0
2001-01-05,FE,FE,Utilities,0.2603179290327147,0.0,0.0,0.002271,1002271323.24,0.1,1,50000.0,True,6342188831.0,357.0,349.0,17619386.0,1891645000.0,854445000.0,0.13472,2079682000.0,0.32791,4.55,0.0919,0.489,1.161,7364312293.0
2001-01-05,CVX,CVX,Energy,0.2708164199941917,-0.002364,-0.002364,0.002271,1002271323.24,0.1,1,50000.0,True,52714975092.0,54.0,53.0,170234191.5,13586000000.0,3624000000.0,0.06875,8597000000.0,0.16308,27.44,0.335,0.753,0.108,5671203933.0
2001-01-05,KRI,KRI,Consumer Cyclical,0.2805479459109464,-0.010513,-0.010513,0.002271,1002271323.24,0.1,1,50000.0,True,4359574611.0,469.0,460.0,29824146.440000005,812929000.0,378813000.0,0.08689,852307000.0,0.1955,5.2,-0.058,0.22,0.421,1834722020.0
2001-01-05,CINF,CINF,Financial Services,0.2966576213500992,0.009421,0.009421,0.002271,1002271323.24,0.1,1,50000.0,True,6435530927.0,352.0,344.0,18324893.5,599790000.0,657788000.0,0.10221,282474000.0,0.04389,-0.08,0.1142,0.531,0.102,658744153.0
2001-01-05,SPGI,SPGI,Financial Services,0.30419268436815494,0.001031,0.001031,0.002271,1002271323.24,0.1,1,50000.0,True,11751497668.0,217.0,211.0,31749405.5,1391650000.0,813369000.0,0.06921,866385000.0,0.07373,24.55,0.0555,0.417,0.094,1108531570.0
2001-01-08,GPU,GPU,Utilities,0.1617063110396937,-0.003512,-0.003512,-0.004726,997534109.03,0.10205,0,0.0,False,4378747637.0,468.0,459.0,17614272.38,1455286000.0,1066162000.0,0.24349,710901000.0,0.16235,2.22,0.0218,0.346,1.611,7055465757.0
2001-01-08,DRE,DRE,Real Estate,0.18525950633568758,0.002557,0.002557,-0.004726,997534109.03,0.09772,0,0.0,False,3116954734.0,589.0,580.0,6862116.5,207663000.0,185428000.0,0.05949,229715000.0,0.0737,,0.1821,0.631,0.738,2300678033.0
2001-01-08,EQR,EQR,Real Estate,0.19187006277497845,-0.002488,-0.002488,-0.004726,997534109.03,0.09891,0,0.0,False,7075730203.0,324.0,317.0,26344232.0,537254000.0,827490000.0,0.11695,949075000.0,0.13413,3.17,0.2345,0.687,0.81,5729528659.0
2001-01-08,SPK1,SPK1,Real Estate,0.21280300009947964,0.011457,0.011457,-0.004726,997534109.03,0.10127,0,0.0,False,3265213557.0,567.0,558.0,45498826.45999999,194056000.0,161736000.0,0.04953,455716320.0,0.13957,4.21,0.179,0.629,0.575,1877111421.0
2001-01-08,DTE,DTE,Utilities,0.24860900767937386,0.012154,0.012154,-0.004726,997534109.03,0.10166,0,0.0,False,5233029755.0,409.0,401.0,26813718.0,1547000000.0,329000000.0,0.06287,770000000.0,0.14714,1.93,0.0743,0.457,0.912,4770524407.0
2001-01-08,FE,FE,Utilities,0.2603179290327147,-0.006693,-0.006693,-0.004726,997534109.03,0.09972,0,0.0,False,6342188831.0,357.0,349.0,17044528.0,1891645000.0,854445000.0,0.13472,2079682000.0,0.32791,4.55,0.0919,0.489,1.161,7364312293.0
2001-01-08,CVX,CVX,Energy,0.27059340378528096,-0.013003,-0.013003,-0.004726,997534109.03,0.09949,0,0.0,False,52590337474.0,53.0,52.0,167016347.5,13586000000.0,3624000000.0,0.06891,8597000000.0,0.16347,27.44,0.335,0.753,0.108,5657795118.0
2001-01-08,KRI,KRI,Consumer Cyclical,0.2821421393668267,-0.013813,-0.013813,-0.004726,997534109.03,0.09868,0,0.0,False,4313744333.0,473.0,464.0,33661180.7,812929000.0,378813000.0,0.08782,852307000.0,0.19758,5.2,-0.058,0.22,0.421,1815434400.0
2001-01-08,CINF,CINF,Financial Services,0.29547746357678395,-0.006222,-0.006222,-0.004726,997534109.03,0.10066,0,0.0,False,6496157885.0,351.0,343.0,18066090.0,599790000.0,657788000.0,0.10126,282474000.0,0.04348,-0.08,0.1142,0.531,0.102,664949958.0
2001-01-08,SPGI,SPGI,Financial Services,0.30357446534401467,-0.028223,-0.028223,-0.004726,997534109.03,0.09983,0,0.0,False,11763614488.0,218.0,212.0,31048257.5,1391650000.0,813369000.0,0.06914,866385000.0,0.07365,24.55,0.0555,0.417,0.094,1109674563.0
2001-01-09,GPU,GPU,Utilities,0.16207397050999478,-0.008826,-0.008826,-0.001164,996372597.34,0.10218,0,0.0,False,4363368447.0,471.0,462.0,18994672.18,1455286000.0,1066162000.0,0.24434,710901000.0,0.16292,2.22,0.0218,0.346,1.611,7030685305.0
2001-01-09,DRE,DRE,Real Estate,0.18245414093790868,0.010203,0.010203,-0.001164,996372597.34,0.09844,0,0.0,False,3124925466.0,587.0,578.0,7035036.5,207663000.0,185428000.0,0.05934,229715000.0,0.07351,,0.1821,0.631,0.738,2306561367.0
2001-01-09,EQR,EQR,Real Estate,0.1901356217453928,0.0,0.0,-0.001164,996372597.34,0.09913,0,0.0,False,7058128884.0,327.0,320.0,26379387.0,537254000.0,827490000.0,0.11724,949075000.0,0.13447,3.17,0.2345,0.687,0.81,5715276100.0
2001-01-09,SPK1,SPK1,Real Estate,0.21445283247355057,-0.011327,-0.011327,-0.001164,996372597.34,0.10292,0,0.0,False,3302623881.0,567.0,558.0,44033680.20999999,194056000.0,161736000.0,0.04897,455716320.0,0.13799,4.21,0.179,0.629,0.575,1898617930.0
2001-01-09,DTE,DTE,Utilities,0.24897397564326967,-0.003548,-0.003548,-0.001164,996372597.34,0.10339,0,0.0,False,5296629785.0,411.0,403.0,28989934.0,1547000000.0,329000000.0,0.06211,770000000.0,0.14538,1.93,0.0743,0.457,0.912,4828503343.0
2001-01-09,FE,FE,Utilities,0.2587534108890802,-0.00902,-0.00902,-0.001164,996372597.34,0.09953,0,0.0,False,6299743267.0,357.0,349.0,16861138.0,1891645000.0,854445000.0,0.13563,2079682000.0,0.33012,4.55,0.0919,0.489,1.161,7315026092.0
2001-01-09,CVX,CVX,Energy,0.2711034575906799,-0.001493,-0.001493,-0.001164,996372597.34,0.09866,0,0.0,False,51906514870.0,55.0,54.0,170031801.5,13586000000.0,3624000000.0,0.06982,8597000000.0,0.16562,27.44,0.335,0.753,0.108,5584227836.0
2001-01-09,KRI,KRI,Consumer Cyclical,0.28289838435764736,0.002143,0.002143,-0.001164,996372597.34,0.09777,0,0.0,False,4254156832.0,480.0,471.0,35270823.18,812929000.0,378813000.0,0.08905,852307000.0,0.20035,5.2,-0.058,0.22,0.421,1790357067.0
2001-01-09,CINF,CINF,Financial Services,0.2960459851183111,-0.001533,-0.001533,-0.001164,996372597.34,0.10051,0,0.0,False,6455739913.0,351.0,343.0,18779353.9,599790000.0,657788000.0,0.10189,282474000.0,0.04376,-0.08,0.1142,0.531,0.102,660812754.0
2001-01-09,SPGI,SPGI,Financial Services,0.30508283743976605,0.012878,0.012878,-0.001164,996372597.34,0.09747,0,0.0,False,11431613626.0,221.0,215.0,32117332.0,1391650000.0,813369000.0,0.07115,866385000.0,0.07579,24.55,0.0555,0.417,0.094,1078356560.0
