RUN PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY STATISTICS,IS (2001-2021),OOS (2022-2026),,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio,Portfolio,,,,,,,,,,,,,,,,,,,,,,,,
Annualized Return,29.59%,14.32%,,,,,,,,,,,,,,,,,,,,,,,,
Ann Std Dev,39.37%,34.47%,,,,,,,,,,,,,,,,,,,,,,,,
Info Ratio,0.751,0.416,,,,,,,,,,,,,,,,,,,,,,,,
Max Drawdown,-74.78%,-34.63%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IS (2001-2021),OOS (2022-2026),,,,,,,,,,,,,,,,,,,,,,,,
,SPY,SPY,,,,,,,,,,,,,,,,,,,,,,,,
Annualized Return,8.45%,11.94%,,,,,,,,,,,,,,,,,,,,,,,,
Ann Std Dev,19.41%,17.62%,,,,,,,,,,,,,,,,,,,,,,,,
Info Ratio,0.436,0.678,,,,,,,,,,,,,,,,,,,,,,,,
Max Drawdown,-55.20%,-24.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Portfolio,SPY,Difference,,,,,,,,,,,,,,,,,,,,,,,
2001,44.09%,-10.13%,54.22%,,,,,,,,,,,,,,,,,,,,,,,
2002,25.54%,-21.59%,47.13%,,,,,,,,,,,,,,,,,,,,,,,
2003,119.76%,28.18%,91.58%,,,,,,,,,,,,,,,,,,,,,,,
2004,65.82%,10.70%,55.12%,,,,,,,,,,,,,,,,,,,,,,,
2005,11.28%,4.83%,6.45%,,,,,,,,,,,,,,,,,,,,,,,
2006,44.72%,15.85%,28.87%,,,,,,,,,,,,,,,,,,,,,,,
2007,-32.88%,5.14%,-38.02%,,,,,,,,,,,,,,,,,,,,,,,
2008,0.01%,-36.81%,36.82%,,,,,,,,,,,,,,,,,,,,,,,
2009,150.20%,26.36%,123.83%,,,,,,,,,,,,,,,,,,,,,,,
2010,44.19%,15.06%,29.13%,,,,,,,,,,,,,,,,,,,,,,,
2011,23.08%,1.89%,21.19%,,,,,,,,,,,,,,,,,,,,,,,
2012,23.63%,15.99%,7.63%,,,,,,,,,,,,,,,,,,,,,,,
2013,48.47%,32.31%,16.17%,,,,,,,,,,,,,,,,,,,,,,,
2014,20.71%,13.46%,7.25%,,,,,,,,,,,,,,,,,,,,,,,
2015,-3.42%,1.25%,-4.67%,,,,,,,,,,,,,,,,,,,,,,,
2016,59.07%,12.00%,47.07%,,,,,,,,,,,,,,,,,,,,,,,
2017,4.38%,21.70%,-17.32%,,,,,,,,,,,,,,,,,,,,,,,
2018,-6.96%,-4.56%,-2.40%,,,,,,,,,,,,,,,,,,,,,,,
2019,30.40%,31.22%,-0.83%,,,,,,,,,,,,,,,,,,,,,,,
2020,15.18%,18.37%,-3.19%,,,,,,,,,,,,,,,,,,,,,,,
2021,45.86%,28.74%,17.12%,,,,,,,,,,,,,,,,,,,,,,,
2022,-14.16%,-18.17%,4.01%,,,,,,,,,,,,,,,,,,,,,,,
2023,23.99%,26.19%,-2.20%,,,,,,,,,,,,,,,,,,,,,,,
2024,40.72%,24.89%,15.83%,,,,,,,,,,,,,,,,,,,,,,,
2025,15.23%,17.71%,-2.48%,,,,,,,,,,,,,,,,,,,,,,,
2026 (YTD),4.53%,8.38%,-3.85%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
date,ticker_id,ticker,sector,fcf_yield,realized_return,gross_stock_return,portfolio_daily_return,portfolio_value_usd,stock_weight,entry_exit_flag,transaction_cost_usd,is_rebalance_day,marketcap_usd,marketcap_rank,domestic_mcap_rank,avg_10d_dollar_volume,quarterly_revenue_usd,fcf_ttm,ebit_ttm,ebit_yield,interest_coverage,rev_growth_yoy,rev_growth_pct_rank,net_debt_to_mcap,net_debt_usd,signal_70d_return
2001-01-02,RNWK,RNWK,Communication Services,0.04445,0.13378,0.13378,0.174048,1174048447.07,0.1,1,50000.0,True,1251427631.0,1087.0,1076.0,42515811.839999996,67124000.0,55622000.0,-66689000.0,-0.05329,,0.9238,0.906,-0.113,-140896910.0,-0.80155
2001-01-02,FDRY,FDRY,Technology,0.04013,0.066925,0.066925,0.174048,1174048447.07,0.1,1,50000.0,True,1758290465.0,890.0,881.0,157048594.981,113241000.0,70563000.0,128140000.0,0.07288,,1.9114,0.96,-0.017,-30284906.0,-0.756183
2001-01-02,AAPL,AAPL,Technology,0.14585,0.098655,0.098655,0.174048,1174048447.07,0.1,1,50000.0,True,5005235471.0,427.0,418.0,101109944.6,1870000000.0,730000000.0,1092000000.0,0.21817,,0.3997,0.783,-0.184,-919875000.0,-0.737028
2001-01-02,SAPE,SAPE,Technology,0.03364,0.305754,0.305754,0.174048,1174048447.07,0.1,1,50000.0,True,1364802426.0,1025.0,1014.0,23033214.6,138057000.0,45911000.0,84092000.0,0.06161,,0.8904,0.903,-0.022,-29563453.0,-0.734924
2001-01-02,IDTI,IDTI,Technology,0.0892,0.229922,0.229922,0.174048,1174048447.07,0.1,1,50000.0,True,3276602688.0,574.0,565.0,100450037.2,268748000.0,292267000.0,521733000.0,0.15923,615.1,0.5486,0.836,-0.097,-316221782.0,-0.686688
2001-01-02,GTW,GTW,Technology,0.06926,0.095652,0.095652,0.174048,1174048447.07,0.1,1,50000.0,True,5577722330.0,389.0,381.0,44239554.7,2530093000.0,386305000.0,827773000.0,0.14841,,0.1614,0.604,-0.064,-356879963.0,-0.683486
2001-01-02,KCG1,KCG1,Financial Services,0.05852,0.200897,0.200897,0.174048,1174048447.07,0.1,1,50000.0,True,1644546933.0,925.0,916.0,41566339.683,187448319.0,96241672.0,467937798.0,0.28454,,0.3625,0.766,0.321,528297670.0,-0.654839
2001-01-02,SMTC,SMTC,Technology,0.03155,0.085366,0.085366,0.174048,1174048447.07,0.1,1,50000.0,True,1378070393.0,1023.0,1012.0,21347125.6,69012000.0,43482000.0,76166000.0,0.05527,,0.4661,0.809,0.164,225949617.0,-0.625571
2001-01-02,BBY,BBY,Consumer Cyclical,0.08953,0.232109,0.232109,0.174048,1174048447.07,0.1,1,50000.0,True,5812925838.0,376.0,368.0,51588186.8,3169171000.0,520404000.0,601820000.0,0.10353,,0.1789,0.628,-0.075,-438426035.0,-0.584443
2001-01-02,JAVA1,JAVA1,Technology,0.03752,0.297297,0.297297,0.174048,1174048447.07,0.1,1,50000.0,True,81908227412.0,27.0,27.0,1573266714.85,5045000000.0,3073335000.0,3136211000.0,0.03829,,0.616,0.853,0.002,181309840.0,-0.563072
2001-01-03,RNWK,RNWK,Communication Services,0.0392,-0.128429,-0.128429,0.030331,1209658495.98,0.1,0,9339.78,True,1418843665.0,1045.0,1034.0,42921171.839999996,67124000.0,55622000.0,-66689000.0,-0.047,,0.9238,0.906,-0.113,-159746104.0,-0.776065
2001-01-03,FDRY,FDRY,Technology,0.03761,-0.078393,-0.078393,0.030331,1209658495.98,0.1,0,6402.53,True,1875963798.0,867.0,858.0,137709732.229,113241000.0,70563000.0,128140000.0,0.06831,,1.9114,0.96,-0.017,-32311719.0,-0.742426
2001-01-03,AAPL,AAPL,Technology,0.13275,0.040816,0.040816,0.030331,1209658495.98,0.1,0,595.32,True,5499025517.0,405.0,397.0,116660401.4,1870000000.0,730000000.0,1092000000.0,0.19858,,0.3997,0.783,-0.184,-1010625000.0,-0.6863
2001-01-03,IDTI,IDTI,Technology,0.07252,0.127172,0.127172,0.030331,1209658495.98,0.1,0,5664.62,True,4029966648.0,506.0,497.0,112893931.0,268748000.0,292267000.0,521733000.0,0.12946,615.1,0.5486,0.836,-0.097,-388928215.0,-0.604128
2001-01-03,GTW,GTW,Technology,0.06321,0.150794,0.150794,0.030331,1209658495.98,0.1,0,7051.26,True,6111243596.0,378.0,370.0,47908188.7,2530093000.0,386305000.0,827773000.0,0.13545,,0.1614,0.604,-0.064,-391016308.0,-0.659459
2001-01-03,KCG1,KCG1,Financial Services,0.04873,0.147927,0.147927,0.030331,1209658495.98,0.1,0,6882.97,True,1974931801.0,839.0,830.0,44898249.095,187448319.0,96241672.0,467937798.0,0.23694,,0.3625,0.766,0.321,634431190.0,-0.568805
2001-01-03,BBY,BBY,Consumer Cyclical,0.07266,0.114147,0.114147,0.030331,1209658495.98,0.1,0,4899.99,True,7162157563.0,331.0,324.0,61779083.6,3169171000.0,520404000.0,601820000.0,0.08403,,0.1789,0.628,-0.075,-540188613.0,-0.487989
2001-01-03,BOBJY,BOBJY,Technology,0.03043,0.027631,0.027631,0.030331,1209658495.98,0.1,1,58702.42,True,1916052386.0,851.0,842.0,52813732.053399995,86005000.0,58310000.0,60085000.0,0.03136,,0.439,0.798,-0.061,-116153077.0,-0.539389
2001-01-03,VSH,VSH,Technology,0.16418,0.007657,0.007657,0.030331,1209658495.98,0.1,1,58702.42,True,2163857642.0,784.0,775.0,37065597.0,669784000.0,355258000.0,576549000.0,0.26644,86.9,0.5095,0.825,-0.04,-87635633.0,-0.533322
2001-01-03,DTPI,DTPI,Industrials,0.06203,-0.102572,-0.102572,0.030331,1209658495.98,0.1,1,58702.42,True,957831626.0,1310.0,1299.0,25291690.4824,59878000.0,59411000.0,41386000.0,0.04321,,0.9653,0.911,-0.178,-170200917.0,-0.466662
2001-01-03,SAPE,SAPE,Technology,0.02576,,,0.030331,1209658495.98,,-1,58702.42,True,1782096727.0,897.0,888.0,25242005.3,138057000.0,45911000.0,84092000.0,0.04719,,,,-0.022,-38602608.0,-0.647136
2001-01-03,JAVA1,JAVA1,Technology,0.02892,,,0.030331,1209658495.98,,-1,58702.42,True,106259322048.0,21.0,21.0,1647965568.6,5045000000.0,3073335000.0,3136211000.0,0.02951,,,,0.002,235212766.0,-0.440972
2001-01-03,SMTC,SMTC,Technology,0.02907,,,0.030331,1209658495.98,,-1,58702.42,True,1495710549.0,1015.0,1005.0,24386534.1,69012000.0,43482000.0,76166000.0,0.05092,,,,0.164,245237998.0,-0.578997
2001-01-04,RNWK,RNWK,Communication Services,0.04498,-0.103676,-0.103676,-0.067189,1128383131.81,0.1,0,2213.59,True,1236623311.0,1114.0,1103.0,41735583.67999999,67124000.0,55622000.0,-66689000.0,-0.05393,,0.9238,0.906,-0.113,-139230107.0,-0.796942
2001-01-04,FDRY,FDRY,Technology,0.04081,-0.161761,-0.161761,-0.067189,1128383131.81,0.1,0,5726.74,True,1728901999.0,918.0,909.0,114869178.285,113241000.0,70563000.0,128140000.0,0.07412,,1.9114,0.96,-0.017,-29778717.0,-0.76405
2001-01-04,AAPL,AAPL,Technology,0.12754,-0.039216,-0.039216,-0.067189,1128383131.81,0.1,0,1685.14,True,5723475538.0,393.0,385.0,129861804.4,1870000000.0,730000000.0,1092000000.0,0.19079,,0.3997,0.783,-0.184,-1051875000.0,-0.681648
2001-01-04,IDTI,IDTI,Technology,0.06434,-0.094838,-0.094838,-0.067189,1128383131.81,0.1,0,1679.04,True,4542466356.0,467.0,458.0,130193838.8,268748000.0,292267000.0,521733000.0,0.11486,615.1,0.5486,0.836,-0.097,-438389070.0,-0.552898
